session_id,candidate_id,candidate_name,exam_title,status,started_at,ended_at,duration_minutes,score,risk_label,tab_switch_count,focus_loss_count,face_absent_seconds,multi_face_count,audio_spike_count,face_presence_ratio
24,17,Michael Cross,Python Assessment,submitted,2026-09-04 10:20:51.306094,2026-09-04 11:50:51.306094,90,73.5,Low,2,1,33,0,0,0.9939
25,18,Sarah Moore,ML Basics Test,submitted,2026-09-09 18:24:14.531199,2026-09-09 19:54:14.531199,90,0.0,High,5,6,127,1,2,0.9765
26,18,Sarah Moore,DBMS Quiz,submitted,2026-08-30 02:21:05.931194,2026-08-30 03:51:05.931194,90,20.17,High,3,4,89,1,1,0.9835
27,19,Emily Green,Networks Final,submitted,2026-09-05 03:31:26.139809,2026-09-05 04:31:26.139809,60,79.67,Low,1,1,8,0,1,0.9978
28,19,Emily Green,Networks Final,submitted,2026-08-24 00:07:53.818027,2026-08-24 01:07:53.818027,60,87.67,Low,0,2,14,0,0,0.9961
29,20,Derek Mahoney,Networks Final,submitted,2026-09-04 16:23:50.625196,2026-09-04 17:53:50.625196,90,61.67,Medium,2,2,38,0,1,0.993
30,21,Matthew Mcmillan,Data Structures Midterm,submitted,2026-09-03 11:29:59.116619,2026-09-03 12:59:59.116619,90,86.5,Low,0,2,21,0,0,0.9961
31,22,Danielle Odonnell,Networks Final,submitted,2026-08-24 11:56:39.183020,2026-08-24 12:41:39.183020,45,78.17,Low,1,2,23,0,0,0.9915
32,23,Benjamin Ware,ML Basics Test,submitted,2026-09-06 05:43:42.620736,2026-09-06 06:43:42.620736,60,0.0,High,4,6,129,0,3,0.9642
33,24,Mary Gomez,ML Basics Test,submitted,2026-09-07 17:12:39.381288,2026-09-07 18:12:39.381288,60,0.0,High,6,6,136,0,2,0.9622
34,24,Mary Gomez,Networks Final,submitted,2026-09-02 23:15:53.706883,2026-09-03 00:00:53.706883,45,0.0,High,6,5,134,1,3,0.9504
35,25,Debra Cobb,Data Structures Midterm,submitted,2026-08-24 20:40:41.994814,2026-08-24 21:40:41.994814,60,68.17,Medium,1,2,47,0,1,0.9869
36,25,Debra Cobb,Networks Final,submitted,2026-09-10 06:06:36.887446,2026-09-10 07:06:36.887446,60,93.33,Low,0,0,40,0,0,0.9889
37,26,Sean Rasmussen,Networks Final,submitted,2026-09-06 10:21:32.184586,2026-09-06 11:51:32.184586,90,91.67,Low,0,0,50,0,0,0.9907
38,26,Sean Rasmussen,Data Structures Midterm,submitted,2026-08-29 03:48:07.701130,2026-08-29 05:18:07.701130,90,75.83,Low,2,1,19,0,0,0.9965
39,27,Richard Graham,DBMS Quiz,submitted,2026-08-30 16:49:03.346526,2026-08-30 18:19:03.346526,90,0.0,High,6,6,91,1,3,0.9831
40,27,Richard Graham,DBMS Quiz,submitted,2026-08-29 14:27:27.150399,2026-08-29 15:27:27.150399,60,0.0,High,6,6,84,0,3,0.9767
41,28,Benjamin Beck,Networks Final,submitted,2026-09-01 04:11:43.232334,2026-09-01 04:56:43.232334,45,89.17,Low,0,2,5,0,0,0.9981
42,28,Benjamin Beck,ML Basics Test,submitted,2026-08-29 01:04:43.096652,2026-08-29 02:04:43.096652,60,68.67,Medium,2,1,26,0,1,0.9928
43,29,Stephanie Gilbert,Data Structures Midterm,submitted,2026-09-07 16:53:01.349283,2026-09-07 18:23:01.349283,90,0.0,High,10,10,226,2,3,0.9581
44,30,John Santana,ML Basics Test,submitted,2026-09-07 04:27:36.435137,2026-09-07 05:27:36.435137,60,89.5,Low,0,0,27,0,1,0.9925
45,30,John Santana,DBMS Quiz,submitted,2026-08-24 13:36:10.610049,2026-08-24 15:06:10.610049,90,76.17,Low,1,1,29,0,1,0.9946
46,31,John Atkinson,DBMS Quiz,submitted,2026-09-09 19:35:46.870339,2026-09-09 21:05:46.870339,90,86.33,Low,0,2,22,0,0,0.9959
47,31,John Atkinson,ML Basics Test,submitted,2026-09-03 15:18:14.510176,2026-09-03 16:03:14.510176,45,78.67,Low,1,0,44,0,1,0.9837
48,32,Colleen Brock,Networks Final,submitted,2026-09-07 07:22:03.921742,2026-09-07 08:22:03.921742,60,87.83,Low,0,2,13,0,0,0.9964
49,33,Michelle Wagner,ML Basics Test,submitted,2026-09-05 00:00:35.869508,2026-09-05 00:45:35.869508,45,0.0,High,5,7,94,0,2,0.9652
50,34,George Orozco,DBMS Quiz,submitted,2026-08-30 20:03:33.697245,2026-08-30 21:33:33.697245,90,0.0,High,8,9,192,3,7,0.9644
51,34,George Orozco,DBMS Quiz,submitted,2026-09-05 12:05:16.371068,2026-09-05 12:50:16.371068,45,0.0,High,8,11,363,1,6,0.8656
52,35,Taylor Silva,Python Assessment,submitted,2026-09-09 21:43:59.677200,2026-09-09 22:28:59.677200,45,86.83,Low,1,0,31,0,0,0.9885
53,35,Taylor Silva,DBMS Quiz,submitted,2026-08-27 16:38:05.261909,2026-08-27 17:38:05.261909,60,68.5,Medium,2,2,33,0,0,0.9908
54,36,John Price,Data Structures Midterm,submitted,2026-09-06 22:00:57.837593,2026-09-06 23:00:57.837593,60,89.67,Low,0,1,32,0,0,0.9911
55,36,John Price,Data Structures Midterm,submitted,2026-09-01 18:53:02.643225,2026-09-01 19:38:02.643225,45,80.5,Low,1,2,9,0,0,0.9967
56,37,Catherine Green,ML Basics Test,submitted,2026-08-31 17:57:07.502375,2026-08-31 19:27:07.502375,90,0.0,High,11,13,489,2,3,0.9094
57,37,Catherine Green,ML Basics Test,submitted,2026-08-30 20:05:57.087715,2026-08-30 21:35:57.087715,90,0.0,High,10,8,426,1,3,0.9211
58,39,aafrin,Machine Learning Basics,terminated,2026-09-11 08:15:57.252537,2026-09-15 06:17:07.888477,60,51.0,Medium,2,3,0,0,3,1.0
59,39,aafrin,Machine Learning Basics,terminated,2026-09-11 08:48:31.109397,2026-09-11 08:48:32.275896,60,19.0,High,0,0,0,5,1,1.0
60,3,Angie Henderson,Python Assessment,submitted,2026-09-07 15:09:25.032348,2026-09-07 16:09:25.032348,60,87.33,Low,0,1,10,0,1,0.9972
61,3,Angie Henderson,DBMS Quiz,submitted,2026-08-26 22:58:59.655774,2026-08-27 00:28:59.655774,90,83.5,Low,0,2,39,0,0,0.9928
62,4,Olivia Moore,Python Assessment,submitted,2026-08-31 16:59:30.129035,2026-08-31 18:29:30.129035,90,76.17,Low,2,0,47,0,0,0.9913
63,4,Olivia Moore,Networks Final,submitted,2026-08-30 17:21:44.747745,2026-08-30 18:06:44.747745,45,78.5,Low,1,1,15,0,1,0.9944
64,5,Thomas Miller,Python Assessment,submitted,2026-09-09 11:24:33.145172,2026-09-09 12:54:33.145172,90,91.33,Low,0,1,22,0,0,0.9959
65,6,Holly Wood,DBMS Quiz,submitted,2026-09-08 08:09:11.878553,2026-09-08 08:54:11.878553,45,0.0,High,6,5,87,1,1,0.9678
66,7,Crystal Johnson,Networks Final,submitted,2026-09-12 10:24:43.978344,2026-09-12 11:54:43.978344,90,0.0,High,8,6,258,3,4,0.9522
67,8,Kimberly Burgess,DBMS Quiz,submitted,2026-08-28 03:13:20.787644,2026-08-28 04:43:20.787644,90,16.67,High,4,4,80,0,3,0.9852
68,9,Arthur James,Python Assessment,submitted,2026-09-03 11:58:28.859195,2026-09-03 13:28:28.859195,90,0.0,High,5,7,114,0,3,0.9789
69,9,Arthur James,DBMS Quiz,submitted,2026-08-27 01:09:57.115430,2026-08-27 01:54:57.115430,45,4.17,High,3,7,95,1,1,0.9648
70,10,Sherri Baker,DBMS Quiz,submitted,2026-08-30 15:16:38.099438,2026-08-30 16:16:38.099438,60,91.17,Low,0,0,17,0,1,0.9953
71,11,Katherine Rodriguez,Networks Final,submitted,2026-09-05 02:01:13.240951,2026-09-05 03:01:13.240951,60,25.33,High,4,3,130,0,1,0.9639
72,12,Deborah Brennan,Python Assessment,submitted,2026-08-26 23:40:43.447833,2026-08-27 00:25:43.447833,45,0.0,High,6,3,93,1,2,0.9656
73,12,Deborah Brennan,Python Assessment,submitted,2026-08-30 06:14:53.887367,2026-08-30 07:44:53.887367,90,9.17,High,3,7,83,0,3,0.9846
74,13,Crystal Robinson,DBMS Quiz,submitted,2026-09-07 19:55:32.293059,2026-09-07 20:40:32.293059,45,80.17,Low,1,1,5,0,1,0.9981
75,13,Crystal Robinson,ML Basics Test,submitted,2026-09-05 20:04:17.934558,2026-09-05 20:49:17.934558,45,90.5,Low,1,0,9,0,0,0.9967
76,14,Laura Kennedy,ML Basics Test,submitted,2026-08-30 16:05:57.325142,2026-08-30 17:05:57.325142,60,65.17,Medium,2,1,47,0,1,0.9869
77,15,Rebecca Rodriguez,DBMS Quiz,submitted,2026-09-06 16:17:00.546651,2026-09-06 17:17:00.546651,60,75.0,Low,2,0,18,0,1,0.995
78,16,Brandon Molina,Networks Final,submitted,2026-09-10 20:40:43.037682,2026-09-10 21:25:43.037682,45,10.0,High,5,3,102,0,3,0.9622
79,17,Michael Cross,Python Assessment,submitted,2026-08-26 14:32:30.363888,2026-08-26 15:32:30.363888,60,87.83,Low,0,1,7,0,1,0.9981
80,18,Sarah Moore,ML Basics Test,submitted,2026-09-10 19:01:54.883809,2026-09-10 20:01:54.883809,60,0.0,High,6,7,79,0,1,0.9781
81,19,Emily Green,Python Assessment,submitted,2026-09-08 17:55:47.630813,2026-09-08 18:40:47.630813,45,0.0,High,14,11,296,1,3,0.8904
82,19,Emily Green,Data Structures Midterm,submitted,2026-09-01 22:43:57.247916,2026-09-02 00:13:57.247916,90,0.0,High,11,14,389,2,6,0.928
83,20,Derek Mahoney,Networks Final,submitted,2026-08-29 10:28:37.146891,2026-08-29 11:58:37.146891,90,84.67,Low,1,1,14,0,0,0.9974
84,21,Matthew Mcmillan,ML Basics Test,submitted,2026-09-13 16:04:02.979335,2026-09-13 17:34:02.979335,90,9.83,High,6,3,91,0,2,0.9831
85,22,Danielle Odonnell,DBMS Quiz,submitted,2026-09-01 21:03:55.605257,2026-09-01 22:33:55.605257,90,69.33,Medium,2,1,22,0,1,0.9959
86,23,Benjamin Ware,Python Assessment,submitted,2026-08-28 05:52:13.576493,2026-08-28 06:37:13.576493,45,0.0,High,10,12,258,3,4,0.9044
87,24,Mary Gomez,Networks Final,submitted,2026-08-28 07:40:51.604210,2026-08-28 08:25:51.604210,45,87.67,Low,0,1,8,0,1,0.997
88,25,Debra Cobb,Networks Final,submitted,2026-09-11 14:02:08.751796,2026-09-11 15:02:08.751796,60,0.0,High,5,6,70,1,1,0.9806
89,25,Debra Cobb,Data Structures Midterm,submitted,2026-09-06 22:52:38.653092,2026-09-07 00:22:38.653092,90,1.67,High,4,6,92,1,1,0.983
90,26,Sean Rasmussen,Data Structures Midterm,submitted,2026-09-10 19:37:43.773407,2026-09-10 21:07:43.773407,90,68.17,Medium,1,2,47,0,1,0.9913
91,27,Richard Graham,DBMS Quiz,submitted,2026-09-09 08:20:09.701036,2026-09-09 09:20:09.701036,60,0.0,High,14,8,270,3,7,0.925
92,28,Benjamin Beck,Python Assessment,submitted,2026-09-05 16:05:54.034932,2026-09-05 17:35:54.034932,90,4.33,High,3,4,112,1,3,0.9793
93,29,Stephanie Gilbert,ML Basics Test,submitted,2026-09-13 23:19:08.838149,2026-09-14 00:19:08.838149,60,0.0,High,5,5,118,1,2,0.9672
94,29,Stephanie Gilbert,DBMS Quiz,submitted,2026-09-02 16:11:24.033625,2026-09-02 17:41:24.033625,90,20.17,High,3,4,89,1,1,0.9835
95,30,John Santana,Networks Final,submitted,2026-09-05 23:18:31.900298,2026-09-06 00:18:31.900298,60,79.67,Low,1,1,8,0,1,0.9978
96,30,John Santana,Networks Final,submitted,2026-09-11 05:47:12.696838,2026-09-11 06:47:12.696838,60,87.67,Low,0,2,14,0,0,0.9961
97,31,John Atkinson,Networks Final,submitted,2026-09-07 05:37:24.025481,2026-09-07 07:07:24.025481,90,0.0,High,4,7,117,1,2,0.9783
98,32,Colleen Brock,Data Structures Midterm,submitted,2026-09-11 20:31:00.047550,2026-09-11 21:31:00.047550,60,80.83,Low,0,1,49,0,1,0.9864
99,32,Colleen Brock,ML Basics Test,submitted,2026-09-06 10:51:03.281653,2026-09-06 12:21:03.281653,90,82.0,Low,2,0,12,0,0,0.9978
100,33,Michelle Wagner,Data Structures Midterm,submitted,2026-09-08 20:51:47.126330,2026-09-08 21:36:47.126330,45,0.0,High,9,10,471,2,6,0.8256
101,34,George Orozco,Data Structures Midterm,submitted,2026-08-27 08:28:27.308209,2026-08-27 09:28:27.308209,60,80.83,Low,0,1,49,0,1,0.9864
102,34,George Orozco,Data Structures Midterm,submitted,2026-08-30 19:29:59.809309,2026-08-30 20:59:59.809309,90,82.5,Low,1,0,21,0,1,0.9961
103,35,Taylor Silva,ML Basics Test,submitted,2026-08-31 23:32:21.281049,2026-09-01 01:02:21.281049,90,78.17,Low,1,1,17,0,1,0.9969
104,36,John Price,DBMS Quiz,submitted,2026-08-27 23:57:48.509318,2026-08-28 00:42:48.509318,45,72.5,Low,2,0,33,0,1,0.9878
105,37,Catherine Green,Python Assessment,submitted,2026-08-30 21:43:51.519050,2026-08-30 23:13:51.519050,90,69.33,Medium,1,2,40,0,1,0.9926
106,39,aafrin,DBMS Quiz,submitted,2026-08-28 09:38:05.946519,2026-08-28 11:08:05.946519,90,62.83,Medium,2,2,31,0,1,0.9943
107,39,aafrin,Python Assessment,submitted,2026-08-31 18:20:03.466866,2026-08-31 19:50:03.466866,90,84.67,Low,0,1,26,0,1,0.9952
108,39,aafrin,Machine Learning Basics,terminated,2026-09-15 06:09:40.569145,2026-09-15 06:09:41.503206,60,19.0,High,0,0,0,5,1,1.0
109,3,Angie Henderson,Python Assessment,submitted,2026-09-09 15:12:03.032348,2026-09-09 16:12:03.032348,60,87.33,Low,0,1,10,0,1,0.9972
110,3,Angie Henderson,DBMS Quiz,submitted,2026-08-28 23:01:37.655774,2026-08-29 00:31:37.655774,90,83.5,Low,0,2,39,0,0,0.9928
111,4,Olivia Moore,Python Assessment,submitted,2026-09-02 17:02:08.129035,2026-09-02 18:32:08.129035,90,76.17,Low,2,0,47,0,0,0.9913
112,4,Olivia Moore,Networks Final,submitted,2026-09-01 17:24:22.747745,2026-09-01 18:09:22.747745,45,78.5,Low,1,1,15,0,1,0.9944
113,5,Thomas Miller,Python Assessment,submitted,2026-09-11 11:27:11.145172,2026-09-11 12:57:11.145172,90,91.33,Low,0,1,22,0,0,0.9959
114,6,Holly Wood,DBMS Quiz,submitted,2026-09-10 08:11:49.878553,2026-09-10 08:56:49.878553,45,0.0,High,6,5,87,1,1,0.9678
115,7,Crystal Johnson,Networks Final,submitted,2026-09-14 10:27:21.978344,2026-09-14 11:57:21.978344,90,0.0,High,8,6,258,3,4,0.9522
116,8,Kimberly Burgess,DBMS Quiz,submitted,2026-08-30 03:15:58.787644,2026-08-30 04:45:58.787644,90,16.67,High,4,4,80,0,3,0.9852
117,9,Arthur James,Python Assessment,submitted,2026-09-05 12:01:06.859195,2026-09-05 13:31:06.859195,90,0.0,High,5,7,114,0,3,0.9789
118,9,Arthur James,DBMS Quiz,submitted,2026-08-29 01:12:35.115430,2026-08-29 01:57:35.115430,45,4.17,High,3,7,95,1,1,0.9648
119,10,Sherri Baker,DBMS Quiz,submitted,2026-09-01 15:19:16.099438,2026-09-01 16:19:16.099438,60,91.17,Low,0,0,17,0,1,0.9953
120,11,Katherine Rodriguez,Networks Final,submitted,2026-09-07 02:03:51.240951,2026-09-07 03:03:51.240951,60,25.33,High,4,3,130,0,1,0.9639
121,12,Deborah Brennan,Python Assessment,submitted,2026-08-28 23:43:21.447833,2026-08-29 00:28:21.447833,45,0.0,High,6,3,93,1,2,0.9656
122,12,Deborah Brennan,Python Assessment,submitted,2026-09-01 06:17:31.887367,2026-09-01 07:47:31.887367,90,9.17,High,3,7,83,0,3,0.9846
123,13,Crystal Robinson,DBMS Quiz,submitted,2026-09-09 19:58:10.293059,2026-09-09 20:43:10.293059,45,80.17,Low,1,1,5,0,1,0.9981
124,13,Crystal Robinson,ML Basics Test,submitted,2026-09-07 20:06:55.934558,2026-09-07 20:51:55.934558,45,90.5,Low,1,0,9,0,0,0.9967
125,14,Laura Kennedy,ML Basics Test,submitted,2026-09-01 16:08:35.325142,2026-09-01 17:08:35.325142,60,65.17,Medium,2,1,47,0,1,0.9869
126,15,Rebecca Rodriguez,DBMS Quiz,submitted,2026-09-08 16:19:38.546651,2026-09-08 17:19:38.546651,60,75.0,Low,2,0,18,0,1,0.995
127,16,Brandon Molina,Networks Final,submitted,2026-09-12 20:43:21.037682,2026-09-12 21:28:21.037682,45,10.0,High,5,3,102,0,3,0.9622
128,17,Michael Cross,Python Assessment,submitted,2026-08-28 14:35:08.363888,2026-08-28 15:35:08.363888,60,87.83,Low,0,1,7,0,1,0.9981
129,18,Sarah Moore,ML Basics Test,submitted,2026-09-12 19:04:32.883809,2026-09-12 20:04:32.883809,60,0.0,High,6,7,79,0,1,0.9781
130,19,Emily Green,Python Assessment,submitted,2026-09-10 17:58:25.630813,2026-09-10 18:43:25.630813,45,0.0,High,14,11,296,1,3,0.8904
131,19,Emily Green,Data Structures Midterm,submitted,2026-09-03 22:46:35.247916,2026-09-04 00:16:35.247916,90,0.0,High,11,14,389,2,6,0.928
132,20,Derek Mahoney,Networks Final,submitted,2026-08-31 10:31:15.146891,2026-08-31 12:01:15.146891,90,84.67,Low,1,1,14,0,0,0.9974
133,21,Matthew Mcmillan,ML Basics Test,submitted,2026-09-15 16:06:40.979335,2026-09-15 17:36:40.979335,90,9.83,High,6,3,91,0,2,0.9831
134,22,Danielle Odonnell,DBMS Quiz,submitted,2026-09-03 21:06:33.605257,2026-09-03 22:36:33.605257,90,69.33,Medium,2,1,22,0,1,0.9959
135,23,Benjamin Ware,Python Assessment,submitted,2026-08-30 05:54:51.576493,2026-08-30 06:39:51.576493,45,0.0,High,10,12,258,3,4,0.9044
136,24,Mary Gomez,Networks Final,submitted,2026-08-30 07:43:29.604210,2026-08-30 08:28:29.604210,45,87.67,Low,0,1,8,0,1,0.997
137,25,Debra Cobb,Networks Final,submitted,2026-09-13 14:04:46.751796,2026-09-13 15:04:46.751796,60,0.0,High,5,6,70,1,1,0.9806
138,25,Debra Cobb,Data Structures Midterm,submitted,2026-09-08 22:55:16.653092,2026-09-09 00:25:16.653092,90,1.67,High,4,6,92,1,1,0.983
139,26,Sean Rasmussen,Data Structures Midterm,submitted,2026-09-12 19:40:21.773407,2026-09-12 21:10:21.773407,90,68.17,Medium,1,2,47,0,1,0.9913
140,27,Richard Graham,DBMS Quiz,submitted,2026-09-11 08:22:47.701036,2026-09-11 09:22:47.701036,60,0.0,High,14,8,270,3,7,0.925
141,28,Benjamin Beck,Python Assessment,submitted,2026-09-07 16:08:32.034932,2026-09-07 17:38:32.034932,90,4.33,High,3,4,112,1,3,0.9793
142,29,Stephanie Gilbert,ML Basics Test,submitted,2026-09-15 23:21:46.838149,2026-09-16 00:21:46.838149,60,0.0,High,5,5,118,1,2,0.9672
143,29,Stephanie Gilbert,DBMS Quiz,submitted,2026-09-04 16:14:02.033625,2026-09-04 17:44:02.033625,90,20.17,High,3,4,89,1,1,0.9835
144,30,John Santana,Networks Final,submitted,2026-09-07 23:21:09.900298,2026-09-08 00:21:09.900298,60,79.67,Low,1,1,8,0,1,0.9978
145,30,John Santana,Networks Final,submitted,2026-09-13 05:49:50.696838,2026-09-13 06:49:50.696838,60,87.67,Low,0,2,14,0,0,0.9961
146,31,John Atkinson,Networks Final,submitted,2026-09-09 05:40:02.025481,2026-09-09 07:10:02.025481,90,0.0,High,4,7,117,1,2,0.9783
147,32,Colleen Brock,Data Structures Midterm,submitted,2026-09-13 20:33:38.047550,2026-09-13 21:33:38.047550,60,80.83,Low,0,1,49,0,1,0.9864
148,32,Colleen Brock,ML Basics Test,submitted,2026-09-08 10:53:41.281653,2026-09-08 12:23:41.281653,90,82.0,Low,2,0,12,0,0,0.9978
149,33,Michelle Wagner,Data Structures Midterm,submitted,2026-09-10 20:54:25.126330,2026-09-10 21:39:25.126330,45,0.0,High,9,10,471,2,6,0.8256
150,34,George Orozco,Data Structures Midterm,submitted,2026-08-29 08:31:05.308209,2026-08-29 09:31:05.308209,60,80.83,Low,0,1,49,0,1,0.9864
151,34,George Orozco,Data Structures Midterm,submitted,2026-09-01 19:32:37.809309,2026-09-01 21:02:37.809309,90,82.5,Low,1,0,21,0,1,0.9961
152,35,Taylor Silva,ML Basics Test,submitted,2026-09-02 23:34:59.281049,2026-09-03 01:04:59.281049,90,78.17,Low,1,1,17,0,1,0.9969
153,36,John Price,DBMS Quiz,submitted,2026-08-30 00:00:26.509318,2026-08-30 00:45:26.509318,45,72.5,Low,2,0,33,0,1,0.9878
154,37,Catherine Green,Python Assessment,submitted,2026-09-01 21:46:29.519050,2026-09-01 23:16:29.519050,90,69.33,Medium,1,2,40,0,1,0.9926
155,39,aafrin,DBMS Quiz,submitted,2026-08-30 09:40:43.946519,2026-08-30 11:10:43.946519,90,62.83,Medium,2,2,31,0,1,0.9943
156,39,aafrin,Python Assessment,submitted,2026-09-02 18:22:41.466866,2026-09-02 19:52:41.466866,90,84.67,Low,0,1,26,0,1,0.9952
